store_number,store_name,address,city,zip_code,county_number
4204,Liquor and Tobacco Outlet /,620 W BREMER AVE,WAVERLY,50677,9
4205,Fareway Stores #025 / Clinton,1350 11TH ST NW,CLINTON,52733,23
4209,Fareway Stores #467 / Marshalltown,102 WEST ANSON ST,MARSHALLTOWN,50158,64
4210,Wal-Mart 5748 / Grimes,2150 EAST 1ST ST,GRIMES,50111,77
4213,Sichanh Liquor Store,812 FLINDT DR,STORM LAKE,50588,11
4214,Sunny's Mart,630 N 3RD ST,CLINTON,52732,23
4215,New Star Liquor / Lafayet / Waterloo,1309 LAFAYETTE ST,WATERLOO,50703,7
4218,New Star Market #1 / Waterloo,9 N ELK RUN RD,WATERLOO,50703,7
4219,Liquor and Tobacco Outlet /,2844 UNIVERSITY AVE,WATERLOO,50701,7
4221,Lake Liquors Wine and Spirits,910 N 8TH ST W,CLEAR LAKE,50428,17
4222,Kwik Stop / Texas St,4335 TEXAS ST,WATERLOO,50702,7
4223,Station Mart Liquor and Tobbacco,3594 LAFAYETTE ST,EVANSDALE,50707,7
4225,STATION MART LIQUOR AND TOBACCO,1119 RIVER FOREST RD,EVANSDALE,50707,7
4226,T P Plaza,1701 IOWA AVE,MARSHALLTOWN,50158,64
4228,Hartig Drug #12 / Waukon,21 W MAIN ST,WAUKON,52172,3
4229,Fareway Stores #462 / Vinton,501 A AVE,VINTON,52349,6
4230,Fareway Stores #790 / Harlan,1910  23RD ST,HARLAN,51537,83
4231,Fareway Stores #106 / Clive,10151 UNIVERSITY AVE,CLIVE,50325,77
4232,Fareway Stores #719 / Le Mars,115 PLYMOUTH ST NE,LE MARS,51031,75
4233,"Elliott's General Store,",23828 HWY J18,MORAVIA,52571,4
4234,Fareway Stores #815 / Cresco,112 S ELM ST,CRESCO,52136,45
4235,Fareway Stores #788 / Spencer,104 E EIGHTH ST,SPENCER,51301,21
4236,Fareway Stores #395 / Webster City,942  2ND ST,WEBSTER CITY,50595,40
4239,Fareway Stores #551 / Eagle Grove,205 NW  1ST ST,EAGLE GROVE,50533,99
4246,Fareway Stores #850 / Spirit Lake,1906 KEOKUK,SPIRIT LAKE,51360,30
4247,Fareway Stores #938 / Shenandoah,1007 S FREMONT ST,SHENANDOAH,51601,73
4248,Fareway Stores #879 / Belmond,115 SECOND  AVE SE,BELMOND,50421,null
4249,Fareway Stores #021 / Sheldon,2603 PARK ST,SHELDON,51201,71
4250,Fareway Stores #048 / Clarinda,115 ESSIE DAVISON DR,CLARINDA,51632,73
4251,Fareway Stores #882 / Eldora,1232 14TH ST,ELDORA,50627,42
4252,Aj's Liquor / Ames,4518 MORTENSON RD STE 109,AMES,50014,85
4253,Fareway Stores #840 / Monticello,433 N FARLEY ST,MONTICELLO,52310,53
4254,Fareway Stores #683 / Winterset,719 W HWY 92,WINTERSET,50273,61
4255,Fareway Stores #849 / Emmetsburg,2008  12TH ST,EMMETSBURG,50536,74
4256,FAREWAY STORES #058 / ORANGE CITY,512  8TH SE,ORANGE CITY,51041,84
4257,Fareway Stores #912 / Sioux Center,115  1ST AVE NW,SIOUX CENTER,51250,84
4258,Broadway Liquor,821 BROADWAY,WATERLOO,50703,7
