item_number,item_description,pack,bottle_volume_ml,id_category
33670,Grey Goose Le Melon Mini,10,600,1032200
33672,Grey Goose Le Melon,6,750,1032200
33680,Kru Cucumber Mini,5,600,1032200
33682,Kru Peach Mango Mini,5,600,1032200
33689,Absolut Texas,12,750,1032200
33692,Belvedere Mango Passion,6,750,1032200
33700,Pinnacle Peachberry Cobbler Mini,4,600,1032200
33701,Pinnacle Peachberry Cobbler,12,750,1032200
33703,Pinnacle Pecan Pie Mini,4,600,1032200
33704,Pinnacle Pecan Pie,12,750,1032200
33716,Paramount Sloe Gin,12,750,1041200
33717,Paramount Sloe Gin,12,1000,1041200
33737,Pinnacle Peppermint Bark,12,750,1701100
33749,Pinnacle Caramel Apple Mini,4,600,1032200
33750,Pinnacle Caramel Apple,12,750,1032200
33761,Kru Cucumber,12,750,1032200
33763,Kru Peach Mango,12,750,1032200
33773,Three Olives Tartz,12,750,1032200
33782,Pinnacle Rainbow Sherbet Mini,4,600,1032200
33783,Pinnacle Rainbow Sherbet,12,750,1032200
33785,Pinnacle Strawberry Shortcake Mini,4,600,1032200
33786,Pinnacle Strawberry Shortcake,12,750,1032200
33788,Absolut Cilantro Mini,10,600,1032200
33789,Absolut Cilantro,12,750,1032200
33791,Three Olives Marilyn Monroe Strawberry,12,750,1032200
33800,Kuhl Hippie Hooch Love Punch Mini,5,600,1032200
33802,Kuhl Hippie Hooch Love Punch,12,750,1032200
33820,Svedka Orange Cream Pop Mini,10,600,1032200
33822,Svedka Orange Cream Pop,12,750,1032200
33825,Svedka Strawberry Colada,10,600,1032200
33827,Svedka Strawberry Colada,12,750,1032200
33866,Kuhl Mango Lemonade Mini,5,600,1032200
33868,Kuhl Mango Lemonade,12,750,1032200
33893,Pearl Cherry,12,750,1032200
33899,Pearl Grape,12,750,1032200
33918,Pearl Apple Pie Mini,12,500,1032200
33921,Pearl Apple Pie,12,750,1032200
33924,Pearl Chocolate Covered Cherry Mini,12,500,1032200
33927,Pearl Chocolate Covered Cherry,12,750,1032200
33932,Pearl Vodka,12,1000,1032080
33944,Absolut Hibiskus Mini,10,600,1032200
33945,Absolut Hibiskus,12,750,1032200
33947,Three Olives Whipped Cream,12,750,1032200
33959,Absolut Chicago,12,750,1032200
33962,Absolut Unique,12,750,1701100
33966,Absolut Orient Apple,12,750,1032200
33971,Belvedere Intense Unfiltered,6,750,1032080
33983,Absolut Berri Acai,12,750,1032200
33987,Absolut Wild Tea,12,750,1032200
33989,Absolut Grapevine Mini,10,600,1032200
33994,Absolut Grapevine,12,750,1032200
33999,Belvedere Bloody Mary,6,750,1032200
34001,Absolut Swedish Vodka 80 Prf Mini,10,600,1032080
34003,Absolut Swedish Vodka 80 Prf,24,200,1032080
34004,Absolut Swedish Vodka 80 Prf,24,375,1032080
34006,Absolut Swedish Vodka 80 Prf,12,750,1032080
34007,Absolut Swedish Vodka 80 Prf,12,1000,1032080
34008,Absolut Swedish Vodka 80 Prf,6,1750,1032080
34014,Absolut Apeach,12,750,1032200
34015,Absolut Apeach,12,1000,1032200
34017,Absolut Miami,12,750,1032200
34026,Absolut Peppar,12,750,1032200
34029,Absolut Citron (lemon Vodka),12,1000,1032200
34030,Absolut Citron (lemon Vodka),12,750,1032200
34032,Absolut Citron (lemon Vodka),6,1750,1032200
34034,Absolut Citron,24,375,1032200
34036,Absolut Pears,12,750,1032200
34041,Absolut Vodka 100 Premium,12,750,1032080
34051,Absolut Raspberri,12,1000,1032200
34052,Absolut Raspberri,12,750,1032200
34061,Absolut Ruby Red,12,750,1032200
34065,Double Cross,6,750,1032080
34076,Absolut Vanilia,12,750,1032200
34078,Absolut Vanilia,12,1000,1032200
34092,Belvedere Pink Grapefruit,6,750,1032200
34096,Absolut Kurant,12,750,1032200
34114,Absolut Mandrin,24,375,1032200
34116,Absolut Mandrin,12,750,1032200
34117,Absolut Mandrin,12,1000,1032200
34118,Absolut Mandrin,6,1750,1032200
34122,Crystal Head Vodka,6,750,1032080
34126,Crystal Head Vodka Mini,48,50,1032080
34138,Chambord Flavored Vodka,6,750,1032200
34155,Belvedere Vodka,6,750,1032080
34158,Belvedere Vodka,6,1750,1032080
34160,Belvedere Vodka,3,1750,1032080
34162,Belvedere Vodka,6,1000,1032080
34164,Ciroc Luxury Vodka,24,200,1032080
34166,Belvedere Red,6,750,1701100
34183,Boru Irish Vodka,6,1750,1701100
34188,Effen Vodka,6,750,1032080
34189,Effen Black Cherry Vodka,6,750,1032200
34190,Absolut Cherrykran,12,750,1032200
34192,Absolut Cherrykran Mini,10,600,1032200
34197,Ciroc Luxury Vodka,12,375,1032080
34198,Ciroc Super Premium Vodka,6,750,1032080
34199,Ciroc Super Premium Vodka,6,1000,1032080
34237,Chopin Vodka,3,1750,1032080
34244,Chopin Vodka,6,750,1032080
34267,Grey Goose Le Citron,6,750,1032200
34269,Grey Goose Le Citron Mini,10,600,1032200
34318,Finlandia Redberry,12,750,1032200
34326,Finlandia Imp Vodka 80prf,12,750,1032080
34349,Finlandia Raspberry Vodka,12,1000,1032080
34359,Grey Goose Vodka,12,200,1032080
34366,Fris Danish Vodka,12,750,1032080
34368,Fris Danish Vodka,6,1750,1032080
34395,Effen Cucumber,6,750,1032200
34398,Fris Citrus,12,750,1032200
34400,Fris Orange,12,750,1032200
34421,Grey Goose Vodka Mini,10,600,1032080
34422,Grey Goose Vodka,6,1000,1032080
34423,Grey Goose Vodka,12,375,1032080
34425,Grey Goose Vodka,6,1750,1032080
34433,Grey Goose Vodka,12,750,1032080
34436,Grey Goose Vodka L'orange,6,750,1032200
34449,Ketel One Citroen,12,750,1032200
34454,Ketel One Imported Vodka,12,375,1032080
34456,Ketel One Imported Vodka,12,750,1032080
34457,Ketel One Imported Vodka,12,1000,1032080
34458,Ketel One Imported Vodka,6,1750,1032080
34467,Frozen Ghost Vodka,6,750,1031080
34486,Stolichnaya Chocolat Kokonut,12,750,1032200
34543,Pearl Black Vodka Mini,12,500,1032080
34546,Pearl Vodka,12,750,1032080
34547,Pearl,6,1000,1032080
34548,Pearl Vodka,6,1750,1032080
34561,Pearl Coconut Vodka,12,750,1032200
34566,Pearl Vodka PET,6,1750,1032080
34573,Pinnacle Citrus,12,750,1032200
34578,Pinnacle Vodka,6,1750,1032080
34579,Pinnacle Vodka,12,750,1032080
34605,Grey Goose La Poire Vodka,6,750,1032200
34629,Pinnacle Raspberry,12,750,1032200
34630,Pinnacle Strawberry-Kiwi Vodka,12,750,1032200
34642,Pinnacle Cherry,12,750,1032200
34678,Quadro Russian Vodka,12,750,1032080
34679,Stolichnaya Salted Karamel,12,750,1032200
34680,Svedka Grape Vodka,6,750,1032200
34684,Grey Goose La Poire Mini,10,600,1032200
34690,Sobieski Vodka,12,750,1032080
34698,Pinnacle Vodka,24,375,1032080
34702,Pearl Pomegranate Vodka,12,750,1032200
34709,Firestarter Vodka,6,750,1032080
34715,Stolichnaya Cranberi Vodka,12,750,1032200
34729,Stolichnaya Elit Vodka,6,750,1032080
34736,Stolichnaya Ohranj Vodka,12,750,1032200
34737,Stolichnaya Ohranj Vodka,12,1000,1032200
34744,Stolichnaya Russian Vodka 80prf,24,375,1032080
34746,Stolichnaya Russian Vodka 80 Prf,12,750,1032080
34747,Stolichnaya Premium Vodka 80 Proof (lv),12,1000,1032080
34748,Stolichnaya Russian Vodka 80 Prf,6,1750,1032080
34753,Reyka Vodka,6,750,1032080
34785,Pinnacle Grape,12,750,1032200
34786,Stolichnaya Blueberi,12,750,1032200
34787,Stolichnaya Blueberi,12,1000,1032200
34812,Svedka Raspberry Vodka,12,750,1032200
34815,Svedka Vanilla Vodka,12,750,1032200
34817,Svedka,12,375,1032080
34820,Svedka Vodka,12,750,1032080
34821,Svedka Vodka,6,1750,1032080
34822,Svedka,24,200,1032080
34823,Svedka Clementine Vodka,12,750,1032200
34839,Svedka Citron Vodka,12,750,1032200
34849,Van Gogh Peanut Butter and Jelly Vodka,6,750,1032200
34856,Tanqueray Sterling Vodka,12,750,1032080
34870,Stoli Razberi (raspberry),12,750,1032200
34871,Stolichnaya Razberi Vodka 75 Proof,12,1000,1032200
34873,Stolichnaya Razberi,24,375,1032200
34876,Stoli Strasberri Vodka,12,750,1032200
34877,Stolichnaya Strasberi Vodka 75 Proof,12,1000,1032200
34880,Stolichnaya Vanil,12,750,1032200
34881,Stolichnaya Vanil Vodka 75 Proof,12,1000,1032200
34886,Three Olives Berry Vodka,12,750,1032200
34919,Three Olives Vodka,6,1750,1032080
34935,Three Olives Vodka,12,750,1032080
34958,Three Olives Vanilla Vodka,12,750,1032200
34959,Three Olives Raspberry Vodka,12,750,1032200
34962,Three Olives Orange Vodka,12,750,1032200
34968,Three Olives Chocolate Vodka,12,750,1032200
34972,Three Olives Cherry Vodka,12,750,1032200
34984,Three Olives Citrus Vodka,12,750,1032200
34995,Three Olives Grape Vodka,12,750,1032200
34997,Three Olives Cherry Vodka,6,1000,1032200
35022,Van Gogh Double Expresso Vodka,6,750,1032200
35039,Three Olives Pomegranate Vodka,12,750,1032200
35109,Russian Standard Original Vodka,12,750,1032080
35136,Finlandia Grapefruit,12,750,1032200
35147,Three Olives Mango Flavored Vodka,12,750,1032200
35179,Pearl Blueberry Vodka,12,750,1032200
35183,Pearl Plum,12,750,1032200
35213,Sobieski Vodka,6,1750,1032080
35221,Pinnacle Banana(dno),12,750,1032200
35242,Pinnacle,12,1000,1032080
35279,Hammer Sickle,6,750,1032080
35313,Barton Vodka,48,200,1031080
35314,Barton Vodka,24,375,1031080
35315,Barton Vodka Pet,12,750,1031080
35316,Barton Vodka,12,750,1031080
35317,Barton Vodka,12,1000,1031080
35318,Barton Vodka,6,1750,1031080
35354,Absolut Mango Vodka,12,750,1032200
35410,Burnett's Vodka 80 Prf PET,12,750,1031080
35416,Burnett's Vodka 80 Prf,12,750,1031080
35418,Burnett's Vodka 80 Prf,6,1750,1031080
35427,Russian Standard Platinum Vodka,12,750,1032080
35435,Svedka Traveler,12,750,1032080
35453,Svedka Cherry Vodka,12,750,1032200
35456,Sobieski Cytron,12,750,1032200
35460,Van Gogh Blue 80 Proof Wheat Vodka,6,750,1032080
35466,Van Gogh Dutch Caramel Vodka,6,750,1032200
35469,Three Olives Bubble Vodka,12,750,1032200
35497,Midnight Moon Apple Pie w/ Drinking Jar,6,750,1701100
35505,Pinnacle Tropical Punch,12,750,1032200
35527,Bakon Vodka,6,750,1031200
35538,Pinnacle County Fair Cotton,12,750,1032200
35543,Ketel One Oranje,12,750,1032200
35549,Three Olives Rangtang,12,750,1032200
35553,Crystal Head Vodka,3,1750,1032080
35586,Clearheart Vodka,6,750,1031080
35622,Rokk Raspberry Vodka,12,750,1032200
35626,Pinnacle Whipped,12,750,1032200
35628,Pinnacle Whipped,6,1750,1032200
35637,Three Olives Purple Vodka,12,750,1032200
35651,Eristoff Vodka,6,1750,1032080
35691,Pearl Red Berry Vodka,12,750,1032200
35692,Pearl Caramel Vodka,12,750,1032200
35695,Pearl Citrus,12,750,1032200
35699,Pearl Cucumber Vodka,12,750,1032200
35702,Pearl Orange Vodka,12,750,1032200
35713,Stoli Wild Cherri Vodka,12,750,1032200
35728,Cyclone Vodka,12,750,1031080
35730,Death's Door Vodka,6,750,1031080
35743,Pinnacle Chocolate Whipped,12,750,1032200
35759,Chopin Rye Vodka,6,750,1032080
35766,"Three Olives ""dude"" Vodka",12,750,1032200
35770,Pinnacle Cherry Whipped,12,750,1032200
35773,Pinnacle Orange Whipped,12,750,1032200
35776,Barton Vodka Mini,10,600,1031080
35779,Pinnacle Orange Whipped Mini,4,600,1032200
35780,Pinnacle Cake Vodka,12,750,1032200
35784,Pinnacle Coconut,12,750,1032200
35785,Cupcake Vodka Original,12,750,1031080
35788,Sobieski Bizon Grass Vodka,12,750,1032200
35798,Sobieski Espresso,12,750,1032200
35860,Dry Fly Vodka,12,750,1031080
35867,Pinnacle Cotton Vodka,12,750,1032200
35873,Pinnacle Red Liquorice,12,750,1032200
35881,Pinnacle Marshmallow,12,750,1032200
35887,Pinnacle Red Berry,12,750,1032200
35891,Three Olives Cake Flavored Vodka,12,750,1032200
35897,Stolichnaya Chocolat Razberi,12,750,1032200
35904,Chopin Wheat Vodka,6,750,1032080
35907,Pinnacle Cookie Dough,12,750,1032200
35913,Five O'clock Vodka,48,200,1031080
35914,Five O'clock Vodka,24,375,1031080
35915,Three Olives Supercola Flavored Vodka,12,750,1032200
35916,Five O'clock Vodka,12,750,1031080
35917,Five O'clock Vodka,12,1000,1031080
35918,Five O'clock Vodka,6,1750,1031080
35920,Pearl Wedding Cake Vodka Mini,12,500,1032200
35921,Pearl Wedding Cake Vodka,12,750,1032200
35926,Five O'clock PET Vodka,12,750,1031080
35933,Grey Goose Cherry Noir,12,375,1032200
35934,Grey Goose Cherry Noir,6,750,1032200
35937,Pinnacle Atomic Hot,12,750,1032200
35944,Fleischmann's Royal Vodka,24,375,1031080
35946,Fleischmann's Royal Vodka,12,750,1031080
35947,Fleischmann's Royal Vodka,12,1000,1031080
35948,Fleischmann's Royal Vodka 80 Prf,6,1750,1031080
35950,Pinnacle Key Lime Whipped,12,750,1032200
35953,Pinnacle Pineapple,12,750,1032200
35961,Pearl Red Berry Vodka,12,750,1032200
35964,Three Olives Loopy Flavored Vodka,12,750,1032200
35969,Stolichnaya Hot,12,750,1032200
35973,Stolichnaya Sticki,12,750,1032200
35975,Pinnacle Atomic Hots Mini,4,600,1032200
35981,44 North Magic Valley,12,750,1031080
35982,Svedka Colada,6,750,1032200
36002,Pinnacle Blackberry,12,750,1032200
36006,Fuzzy's Ultra Premium Vodka,6,750,1031080
36010,Three Olives Smores,12,750,1032200
36014,Pinnacle Peach Mini,4,600,1032200
36015,Pinnacle Peach,12,750,1032200
36020,Sobieski Black Cherry,12,750,1032200
36034,Pearl Peach,12,750,1032200
36059,La Collection Fish,6,375,1032080
36061,Pinnacle Pumpkin Pie,12,750,1701100
36065,Fuzzy's Ultra Premium Vodka,3,1750,1031080
36083,Sobieski Lemon Meringue,12,750,1032200
36121,Deep Eddy Mini,6,600,1031080
36122,Deep Eddy,12,750,1031080
36161,Blue Water Vodka,12,1000,1031080
36162,Fuzzy's Ultra Premium Checkered Flag,6,750,1701100
36164,Pinnacle Salted Caramel Mini,4,600,1032200
36165,Pinnacle Salted Caramel,12,750,1032200
36186,Gordon's Vodka 80 Prf,12,750,1031080
36188,Gordon's Vodka 80 Prf - Pet,6,1750,1031080
36200,"Michael Godard ""Mr. Smooth""",6,750,1032080
36214,Pinnacle Cinnabon Mini,4,600,1032200
36215,Pinnacle Cinnabon,12,750,1032200
36218,Pinnacle King Cake,12,750,1701100
36221,Three Olives Elvis Coconut Water,12,750,1032200
36229,Blaum Bros. Vodka,6,750,1031080
36233,La Collection Santa Claus,6,1000,1032080
36235,La Collection Race Car,6,1000,1032080
36238,Three Olives Jacked Apple,12,750,1032200
36252,Ketel One,24,200,1032080
36258,Dehner Distillery Vodka,12,750,1031080
36261,Hangar One,12,750,1031080
36278,Three Olives Loopy Mini,10,600,1032200
36287,Cooper's Chase Vodka Mini,8,600,1031080
36288,Cooper's Chase Vodka,12,750,1031080
36296,Zyr Vodka,6,750,1032080
36301,Hawkeye Vodka 80 Prf Mini,12,500,1031100
36302,Hawkeye Vodka,48,200,1031080
36304,Hawkeye Vodka,24,375,1031080
36305,Hawkeye Vodka,12,750,1031080
36306,Hawkeye Vodka,12,750,1031080
36307,Hawkeye Vodka,12,1000,1031080
36308,Hawkeye Vodka,6,1750,1031080
36309,Svedka Grapefruit Jalapeno Mini,10,600,1032200
36311,Svedka Grapefruit Jalapeno,12,750,1032200
36314,Svedka 100 Proof,12,375,1032080
36315,Svedka 100 Proof,12,750,1032080
36317,Stolichnaya Night Edition,12,750,1032080
36331,Three Olives Blueberry,12,750,1032200
36344,La Collection Tiger,6,375,1032080
36369,Griffon Vodka,12,1000,1031080
36374,Ketel One 325 Anniversary Bottle,6,1000,1701100
36376,Three Olives Peach,12,750,1032200
36379,Three Olives Pineapple,12,750,1032200
36383,Hair of the Dawg Vodka,12,1000,1031080
36384,Three Olives Strawberry,12,750,1032200
36390,Crystal Head Aurora Vodka,6,750,null
36399,Penthouse Spirits Vodka,6,750,1032080
36406,Medea Vodka,12,750,1032080
36410,Chick's Vodka,12,750,1031080
36447,Ingenioz,12,750,1031080
36591,Kinky Vodka Mini,6,500,1031080
36592,Kinky Vodka,12,750,1031080
36595,Kinky Vodka,6,1750,1031080
36667,Korski Vodka,12,1000,1031080
36668,Korski Vodka,6,1750,1031080
36821,Little Black Dress Vodka,12,750,1031080
36870,Ciroc Luxury Vodka,12,1000,1032080
36871,Ciroc Luxury Vodka,12,750,1032080
36886,Mccormick Vodka,12,750,1031100
36887,McCormick Vodka,12,1000,1031100
36896,Menage a Trois,12,750,1031080
36901,McCormick Vodka Mini,6,500,1031080
36903,Mccormick Vodka,48,200,1031080
36904,Mccormick Vodka Pet,24,375,1031080
36907,Mccormick Vodka PET,12,1000,1031080
36908,Mccormick Vodka Pet,6,1750,1031100
36965,New Amsterdam Vodka Mini,12,500,1031080
36967,New Amsterdam Vodka,24,200,1031080
36968,New Amsterdam Vodka,24,375,1031080
36969,New Amsterdam Vodka,12,750,1031080
36970,New Amsterdam Vodka,12,1000,1031080
36971,New Amsterdam Vodka,6,1750,1031080
36973,Nikolai Vodka,48,200,1031080
36974,Nikolai Vodka,24,375,1031080
36976,Nikolai Vodka,12,750,1031080
36978,Nikolai Vodka,6,1750,1031080
37097,Mr. Boston Riva Vodka,12,1000,1031080
37111,Bacardi Cocktails Pina Colada,6,1750,1071100
37145,Opulent Mini,6,500,1031080
37146,Opulent Vodka,6,750,1031080
37148,Opulent,6,1750,1031080
37204,Outerspace Vodka,6,750,1031080
37217,Paramount Vodka,12,1000,1031080
37335,UV Vodka PET,12,750,1031080
37336,Uv Vodka,12,750,1031080
37337,UV Vodka,12,1000,1031080
37338,UV Vodka PET,6,1750,1031080
37339,UV Vodka,6,1750,1031080
37344,Phillips Vodka,12,375,1031080
37346,Phillips Vodka,12,750,1031080
37347,Phillips Vodka,12,1000,1031080
37348,Phillips Vodka,6,1750,1031080
37356,Phillips Vodka Ez Pack,12,750,1031080
37413,Popov Vodka 80 Prf,48,200,1031080
37414,Popov Vodka 80 Prf,24,375,1031080
37416,Popov Vodka 80 Prf,12,750,1031080
37417,Popov Vodka 80 Prf,12,1000,1031080
37418,Popov Vodka 80 Prf,6,1750,1031080
37426,Popov Vodka 80 Prf Traveler,12,750,1031080
37526,Prairie Organic Vodka,6,750,1031080
37599,Relska Vodka,6,1750,1031080
37640,River Baron Artisian Spirit,6,750,1031080
37642,River Pilot Vodka,6,750,1031080
37742,Salute American Vodka,12,750,1031080
37880,Seagrams Extra Smooth,24,200,1031080
37886,Seagrams Vodka,12,750,1031080
37888,Seagrams Vodka,6,1750,1031080
37889,Seagrams Extra Smooth,12,375,1031080
37896,Shaker's Original American Vodka,12,750,1031080
37906,Shaker's Rye Vodka,12,750,1031080
37934,Skol Vodka,24,375,1031080
37935,Skol Vodka Traveler,12,750,1031080
37936,Skol Vodka,12,750,1031080
37937,Skol Vodka,12,1000,1031080
37938,Skol Vodka,6,1750,1031080
37976,Skyy Vodka Glow,12,750,1701100
37984,Skyy Vodka,12,375,1031080
37986,Skyy Vodka,12,750,1031080
37987,Skyy Vodka,12,1000,1031080
37988,Skyy Vodka,6,1750,1031080
37991,Smirnoff Vodka 80 Prf Mini,12,500,1031080
37993,Smirnoff Vodka 80 Prf,48,200,1031080
37994,Smirnoff Vodka 80 Prf,24,375,1031080
37996,Smirnoff Vodka 80 Prf,12,750,1031080
37997,Smirnoff Vodka 80 Prf,12,1000,1031080
37998,Smirnoff Vodka 80 Prf,6,1750,1031080
38002,Smirnoff Coconut,12,750,1031200
38006,Smirnoff Vodka Traveller,12,750,1031080
38008,Smirnoff Vodka 80 Prf Pet,6,1750,1031080
38026,Soldier Valley Vodka,6,750,1031080
38056,Swell Vodka,12,750,1031080
38086,Platinum 7X Vodka PET,12,750,1031080
38088,Platinum 7x Vodka,6,1750,1031080
38089,Platinum 7x Vodka,48,100,1031080
38169,360 Vodka,12,750,1031080
38172,360 Vodka,24,375,1031080
38174,Titos Handmade Vodka,12,375,1031080
38176,Titos Vodka,12,750,1031080
38177,Titos Handmade Vodka,12,1000,1031080
38178,Titos Handmade Vodka,6,1750,1031080
38180,Titos Handmade Mini,5,600,1031080
38580,Wisconsin Club Vodka,12,1000,1031080
38581,Wisconsin Club Vodka,6,1750,1031080
39506,La Collection Flag,6,200,1032080
39606,Paramount Vodka,12,750,1031100
39666,Popov Vodka 100 Prf,12,750,1031100
39849,Skyy Coastal Cranberry Mini,12,500,1031200
39850,Skyy Coastal Cranberry,12,750,1031200
39866,Smirnoff Vodka 100 Prf,12,750,1031100
39868,Smirnoff Vodka 100 Prf,6,1750,1031100
39946,Bakon Rosemary Vodka,6,750,1031200
40000,Shady Fruit Real Valencia Orange Mini,12,500,1031200
40001,Shady Fruit Valencia Orange,12,750,1031200
40005,UV Sangria Mini,6,500,1031200
40007,UV Sangria,12,750,1031200
40023,Shady Fruit Real Ruby Red Grapefruit Mini,12,500,1031200
40024,Shady Fruit Ruby Red Grapefruit,12,750,1031200
40052,Deep Eddy Lemon Mini,6,600,1031200
40053,Deep Eddy Lemon Vodka,12,750,1031200
40059,Skyy Infusions Texas Grapefruit Mini,12,500,1031200
40060,Skyy Infusions Texas Grapefruit,12,750,1031200
40063,Skyy Infusions Pacific Blueberry Mini,12,500,1031200
40064,Skyy Infusions Pacific Blueberry,12,750,1031200
40069,New Amsterdam Mango,24,200,1031200
40070,New Amsterdam Mango,24,375,1031200
40071,New Amsterdam Mango,12,750,1031200
40073,New Amsterdam Mango,6,1750,1031200
40092,Seagram's Red Berry Flavored Vodka,12,750,1031200
40105,Menage a Trois Berry,12,750,1031200
40107,Menage a Trois Citrus,12,750,1031200
40118,Dueces Wild Vodka,6,1750,1031100
40125,Burnett's Mango Pineapple Mini,12,500,1031200
40126,Burnett's Mango Pineapple,12,750,1031200
40145,Burnett's Ruby Red Grapefruit Mini,12,500,1031200
40146,Burnett's Ruby Red Grapefruit,12,750,1031200
40151,Deep Eddy Cranberry Mini,6,600,1031200
40152,Deep Eddy Cranberry,12,750,1031200
40154,Deep Eddy Ruby Red,6,1750,1031200
40157,Seagram's Peach Flavored Vodka,12,750,1031200
40184,New Amsterdam Orange,24,200,1031200
40185,New Amsterdam Orange,24,375,1031200
40186,New Amsterdam Orange,12,750,1031200
40191,New Amsterdam Pineapple,24,200,1031200
40192,New Amsterdam Pineapple,24,375,1031200
40193,New Amsterdam Pineapple,12,750,1031200
40202,Skyy Infusions Vanilla Bean Mini,12,500,1031200
40203,Skyy Infusions Vanilla Bean,12,750,1031200
40213,Skyy Infusions Georgia Peach Mini,10,600,1031200
40228,UV Sriracha Mini,6,500,1031200
40229,UV Sriracha,12,750,1031200
40232,Skyy Infusions Georgia Peach,12,750,1031200
40244,Prairie Organic Cucumber,6,750,1031200
40255,Smirnoff Cinna-Sugar Twist Mini,12,500,1031200
40256,Smirnoff Cinna-Sugar Twist,12,750,1031200
40259,Smirnoff Wild Honey Mini,12,500,1031200
40260,Smirnoff Wild Honey,12,750,1031200
40268,Smirnoff Amaretto Mini,12,500,1031200
40271,Smirnoff Amaretto,12,750,1031200
40285,New Amsterdam Coconut Mini,12,500,1031200
40289,New Amsterdam Coconut,12,750,1031200
40292,New Amsterdam Citron Mini,12,500,1031200
40295,New Amsterdam Citron,24,200,1031200
40297,New Amsterdam Citron,12,750,1031200
40299,New Amsterdam Citron,6,1750,1031200
40308,A+,6,750,1031110
40313,New Amsterdam Peach,6,1750,1031200
40315,New Amsterdam Red Berry,6,1750,1031200
40326,Deep Eddy Ruby Red Mini,6,600,1031200
40327,Deep Eddy Ruby Red,12,750,1031200
40330,Deep Eddy Sweet Tea Mini,6,600,1031200
40331,Deep Eddy Sweet Tea,12,750,1031200
40335,Skinnygirl Meyer Lemon,12,750,1031200
40351,Burnett's Blackberry,12,750,1031200
40355,Burnett's Cherry Cola,12,750,1031200
40359,Burnett's Strawberry Banana,12,750,1031200
40363,Burnett's Tropical Punch,12,750,1031200
40370,Burnett's Pumpkin Spice,12,750,1701100
40390,UV Candy Bar Mini,6,500,1031200
40394,UV Candy Bar,12,750,1031200
40399,UV Peach Mini,6,500,1031200
40403,UV Peach,12,750,1031200
40407,UV Salty Watermelon Mini,6,500,1031200
40411,UV Salty Watermelon,12,750,1031200
40442,Skyy Infusions Moscato Grape,12,750,1031200
40446,Pucker Vodka Watermelon Mini,10,600,1031200
40447,Pucker Vodka Watermelon,12,750,1031200
40455,Taaka King Cake Vodka,12,750,1701100
40465,Skyy Infusions Wild Strawberry,12,750,1031200
40474,Smirnoff Root Beer Float Mini,12,500,1031200
40475,Smirnoff Root Beer Float,12,750,1031200
40489,Skinnygirl White Cherry,12,750,1031200
40496,Smirnoff Iced Cake Mini,12,500,1031200
40497,Smirnoff Iced Cake,12,750,1031200
40569,Pride of the Wapsi,12,375,1031200
40570,Skinnygirl Bare Naked,12,750,1031110
40572,Skinnygirl Island Coconut,12,750,1031200
40574,Skinnygirl Cucumber,12,750,1031200
40576,Skinnygirl Tangerine,12,750,1031200
40590,New Amsterdam Peach Mini,12,500,1031200
40592,New Amsterdam Peach,24,200,1031200
40593,New Amsterdam Peach,24,375,1031200
40594,New Amsterdam Peach,12,750,1031200
40595,New Amsterdam Red Berry Mini,12,500,1031200
40597,New Amsterdam Red Berry,24,200,1031200
40598,New Amsterdam Red Berry,24,375,1031200
40599,New Amsterdam Red Berry,12,750,1031200
40600,Burnett's Candy Cane,12,750,1701100
40603,Smirnoff Kissed Caramel Mini,12,500,1031200
40604,Smirnoff Kissed Caramel,12,750,1031200
40608,Burnett's Maple Syrup,12,750,1031200
40614,Rumchata w/Thermal Cup,6,750,1701100
40616,King Solly White Grape Vodka Mini,6,500,1031200
40619,King Solly White Grape Vodka,12,750,1031200
40621,UV Chocolate Cake Mini,6,500,1031200
40625,UV Chocolate Cake,12,750,1031200
40629,UV Whipped Mini,6,500,1031200
40632,UV Whipped,12,750,1031200
40636,Burnett's Sugar Cookie Mini,12,500,1031200
40637,Burnett's Sugar Cookie,12,750,1031200
40647,360 Buttered Popcorn Mini,6,500,1031200
40648,360 Buttered Popcorn,12,750,1031200
40649,360 Huckleberry Mini,6,500,1031200
40656,360 Huckleberry Vodka,12,750,1031200
40657,360 Red Raspberry Mini,6,500,1031200
40658,360 Red Raspberry,12,750,1031200
40661,Skyy Infusions Coconut,12,750,1031200
40667,360 Glazed Donut Mini,6,500,1031200
40669,360 Glazed Donut,12,750,1031200
40678,Pucker Vodka Lemonade Lust,12,750,1031200
40682,Pucker Vodka Raspberry Rave,12,750,1031200
40686,Hawkeye Cherry,12,1000,1031200
40687,Hawkeye Grape,12,1000,1031200
40691,Little Black Dress Black Cherry Vanilla,12,750,1031200
40694,Little Black Dress Blueberry Pomegranate,12,750,1031200
40697,Little Black Dress Pineapple Honey,12,750,1031200
40804,Skyy Infusions Citrus,12,750,1031200
40810,Skyy Infusions Passion Fruit,12,750,1031200
40821,Skyy Infusions Pineapple,12,750,1031200
40831,Skyy Infusions Blood Orange,12,750,1031200
40835,Skyy Infusions Dragon Fruit,12,750,1031200
40841,Pucker Vodka Wild Cherry Tease,12,750,1031200
40845,Pucker Vodka Citrus Squeeze,12,750,1031200
40849,Pucker Vodka Grape Gone Wild,12,750,1031200
40853,Pucker Vodka Sour Apple Sass,12,750,1031200
40909,Hawkeye Bacon Vodka,12,1000,1031200
40917,Smirnoff Pineapple Vodka,12,750,1031200
40926,Smirnoff Silver Vodka 90 Prf,12,750,1031090
